x,y,z,Bx,By,Bz,Bp,faceid
-31.8,-2.83,32.9,9.273050487874938,-27.149675138430098,81.50848727822597,86.13988732202473,1.0
-31.8,-2.12,32.9,7.208872007189976,-29.271357119560548,78.73394215236704,84.1444910423518,1.0
-31.8,-1.41,32.9,7.268272652520702,-30.06927446611803,75.76098233446464,81.61838176560113,1.0
-31.8,-0.707,32.9,5.172015958053901,-30.903476937498056,73.76605889901708,80.01938052555158,1.0
-31.8,0.0,32.9,4.302746729678892,-32.32381100079385,70.6149856596777,77.66147666205896,1.0
-31.8,0.707,32.9,5.401514097969594,-34.39790123541218,67.27254707833578,75.49823457133245,1.0
-31.8,1.41,32.9,7.079701087402433,-36.53871168886104,63.83205791369835,73.37706034927866,1.0
-31.8,2.12,32.9,10.340114080664765,-37.67910971309419,59.26279843521871,69.81595877602736,1.0
-31.8,2.83,32.9,13.186294649360567,-38.468831573932164,55.492516084896806,66.77897698482671,1.0
-31.1,-7.07,32.9,14.064551139673656,-21.34446101810272,99.20072053701557,102.04648263220146,1.0
-31.1,-6.36,32.9,7.277641498449656,-22.811358744881545,96.0770935932639,98.98271553319445,1.0
-31.1,-5.66,32.9,1.720156015628035,-25.195582670889678,93.39155371197023,96.70476727940894,1.0
-31.1,-4.95,32.9,-1.6925728235087014,-26.374449003563143,90.27076216605184,93.87996011221561,1.0
-31.1,-4.24,32.9,-5.17664298065381,-28.210096594622712,85.92948260437504,90.14743747646101,1.0
-31.1,-3.54,32.9,-8.071408876584826,-28.833492956846044,82.53862744557205,87.07405781327074,1.0
-31.1,-2.83,32.9,-10.469566250513925,-29.34213953303447,79.07851191622501,83.9806681451055,1.0
-31.1,-2.12,32.9,-12.303486574078244,-30.866279683600283,75.60707738381609,81.32598373478042,1.0
-31.1,-1.41,32.9,-13.105950705579575,-30.90495552468616,73.18184494012093,79.19873847307875,1.0
-31.1,-0.707,32.9,-14.124962582205118,-31.832421763164405,69.89541335196839,76.66693572286243,1.0
-31.1,0.0,32.9,-14.186639113907042,-32.96395686166295,66.66199508089926,74.36695529698264,1.0
-31.1,0.707,32.9,-13.40237489092148,-32.89447362217777,62.5011405259209,70.76727289223696,1.0
-31.1,1.41,32.9,-12.076735412472777,-33.69871082673126,60.448597569370975,69.4581329579452,1.0
-31.1,2.12,32.9,-9.34328741897762,-34.47869179312295,57.42318180671833,67.26680868173352,1.0
-31.1,2.83,32.9,-6.317257888632919,-35.37120763807684,55.43334867355162,65.98760338938479,1.0
-31.1,3.54,32.9,-2.0975848567012534,-34.52747293280953,51.42000864176106,61.9455264395754,1.0
-31.1,4.24,32.9,4.02017551605055,-33.27061246438859,48.36077065374536,58.22360816951159,1.0
-31.1,4.95,32.9,10.021185977021855,-30.06571241685276,44.144627447259495,52.33833860617809,1.0
-31.1,5.66,32.9,14.634590764843797,-26.781498287778163,40.67312671596659,47.08861024195649,1.0
-31.1,6.36,32.9,17.509097532340647,-20.999245317505597,35.79085665337391,39.65115185173967,1.0
-31.1,7.07,32.9,16.984857663495482,-16.404269507042898,30.24980731987648,32.62895349247509,1.0
-30.4,-9.9,32.9,17.298300371331216,-17.8095561239806,110.38507585167065,112.61322657035925,1.0
-30.4,-9.19,32.9,9.962553117550708,-20.9279301295482,107.9453856578316,110.35091131406803,1.0
-30.4,-8.48,32.9,2.385755677955874,-23.50066265812785,105.35607950633243,107.89691988656685,1.0
-30.4,-7.78,32.9,-3.12672870962413,-26.172076519851885,101.01804640560073,103.96541765388842,1.0
-30.4,-7.07,32.9,-7.958996010277366,-26.7933111584245,96.18218276159519,99.2028716160797,1.0
-30.4,-6.36,32.9,-12.694033074187871,-27.98793420421805,91.10168308937318,94.41571782737118,1.0
-30.4,-5.66,32.9,-16.718914100150137,-29.10311046492319,86.9433622161917,90.62015947969337,1.0
-30.4,-4.95,32.9,-19.713926983316682,-29.860306397332863,82.70899500599273,86.79096962962241,1.0
-30.4,-4.24,32.9,-22.267833634824036,-30.300668937924,77.52084634270119,82.06662941087849,1.0
-30.4,-3.54,32.9,-24.301032165578334,-31.523250466409138,73.48577417447382,78.81915269077032,1.0
-30.4,-2.83,32.9,-26.099303646299973,-31.615716780075616,69.54824223772818,75.3755033048246,1.0
-30.4,-2.12,32.9,-26.999184791398715,-31.598681852822494,65.76040401633946,72.13313053165582,1.0
-30.4,-1.41,32.9,-27.56467501153422,-31.389011193487363,62.143817838770644,69.04021409342273,1.0
-30.4,-0.707,32.9,-28.081126592425168,-32.08787833473809,58.765852843108576,66.64111649559437,1.0
-30.4,0.0,32.9,-27.52401490858782,-31.773159377637228,56.5410484395677,64.8569488604134,1.0
-30.4,0.707,32.9,-26.76177307317803,-32.37474376453849,53.49671968001695,62.84998877673529,1.0
-30.4,1.41,32.9,-25.474220113932816,-31.917318487013688,50.658784372511604,60.49375833133823,1.0
-30.4,2.12,32.9,-23.444472214932585,-32.44021490862718,48.94593501995155,59.59195858819541,1.0
-30.4,2.83,32.9,-20.745416893148583,-31.990100124053356,46.38903422401279,57.382169365305685,1.0
-30.4,3.54,32.9,-17.90965590312779,-30.589451986494794,42.962676428569694,53.84387119740544,1.0
-30.4,4.24,32.9,-14.363303779963793,-28.14862526990987,40.64624987086842,50.43717354147581,1.0
-30.4,4.95,32.9,-10.749358138390596,-25.778243957997688,38.36441520049527,47.011446420865354,1.0
-30.4,5.66,32.9,-7.2130044823474275,-23.64417117957794,35.07666551402099,42.82301538301373,1.0
-30.4,6.36,32.9,-5.007133443468936,-18.55472407943722,32.71468765047172,37.92606994435915,1.0
-30.4,7.07,32.9,-3.326506408395341,-15.564545321181981,29.15034964464121,33.211172875912936,1.0
-30.4,7.78,32.9,-1.7912408501632644,-14.73832040205906,26.273103991120138,30.116788667002837,1.0
-30.4,8.48,32.9,-0.5743098359071404,-14.202291587670402,21.91734837764875,25.918315952997265,1.0
-30.4,9.19,32.9,2.1386207076507757,-14.813189706025753,17.71059544356251,22.305938239157282,1.0
-30.4,9.9,32.9,7.498940772148581,-15.393489837851064,12.314649090474916,17.415678363103044,1.0
-29.7,-11.3,32.9,10.7530860504787,-19.17766453201392,116.55296598809616,118.56461845461644,1.0
-29.7,-10.6,32.9,3.3280891998716733,-21.74573590971977,113.04046846224901,115.08548767737928,1.0
-29.7,-9.9,32.9,-3.844400270410601,-24.82689697174152,108.41572927719471,110.69290361315777,1.0
-29.7,-9.19,32.9,-10.271754634302848,-27.339163155375616,103.06690434067639,105.61971320302109,1.0
-29.7,-8.48,32.9,-15.29997401587664,-29.330849799168107,97.31747807210292,100.2339373109538,1.0
-29.7,-7.78,32.9,-19.4707958596763,-29.92489956780389,91.40385557852233,94.50580672916934,1.0
-29.7,-7.07,32.9,-23.19505126194167,-31.0401658760087,86.36342883615254,89.86056425033385,1.0
-29.7,-6.36,32.9,-26.410774907474405,-31.79473893436034,81.36828420364861,85.28828933087928,1.0
-29.7,-5.66,32.9,-29.393033467805843,-32.30162254946339,76.53797259053368,80.90719526733433,1.0
-29.7,-4.95,32.9,-31.64676220906775,-32.574829306319884,71.81154427288857,76.69461857005358,1.0
-29.7,-4.24,32.9,-33.21801837532567,-32.64635375510153,66.2755781138759,71.80208781560181,1.0
-29.7,-3.54,32.9,-34.55321776121623,-32.54366641564218,62.00235019148511,68.12463154461764,1.0
